MES,MAGNITUD,ANNO,PROVINCIA,MEDIA_VAL
10,19,2019,1,0.016774193548387096
11,19,2019,1,0.010000000000000002
12,19,2019,1,0.011034482758620692
1,27,2019,1,0.16111111111111112
2,27,2019,1,0.2
3,27,2019,1,0.07500000000000001
4,27,2019,1,0.05
5,27,2019,1,0.05
6,27,2019,1,0.05000000000000001
7,27,2019,1,0.05
8,27,2019,1,0.05
9,27,2019,1,0.05
10,27,2019,1,0.05
11,27,2019,1,0.05
12,27,2019,1,0.05
1,28,2019,1,0.20000000000000007
2,28,2019,1,0.20000000000000004
3,28,2019,1,0.20000000000000007
4,28,2019,1,0.20000000000000007
5,28,2019,1,0.20000000000000007
6,28,2019,1,0.23750000000000004
7,28,2019,1,0.20000000000000007
8,28,2019,1,0.20000000000000007
9,28,2019,1,0.21071428571428577
10,28,2019,1,0.21290322580645168
11,28,2019,1,0.20000000000000007
12,28,2019,1,0.21034482758620696
1,62,2019,1,2.096774193548387
2,62,2019,1,2.5925925925925926
3,62,2019,1,2.096774193548387
4,62,2019,1,2.0
5,62,2019,1,2.4838709677419355
6,62,2019,1,2.5833333333333335
7,62,2019,1,2.193548387096774
8,62,2019,1,2.0
9,62,2019,1,2.0
10,62,2019,1,2.870967741935484
11,62,2019,1,2.1
12,62,2019,1,2.1379310344827585
1,9,2017,2,10.891999999999998
2,9,2017,2,13.120833333333335
3,9,2017,2,10.682758620689656
4,9,2017,2,9.153571428571427
5,9,2017,2,8.484000000000002
6,9,2017,2,11.070000000000002
7,9,2017,2,10.77037037037037
8,9,2017,2,11.903333333333332
9,9,2017,2,10.809999999999999
10,9,2017,2,12.603703703703705
11,9,2017,2,12.853333333333333
12,9,2017,2,12.887500000000001
1,10,2017,2,21.08
2,10,2017,2,31.56
3,10,2017,2,26.22222222222222
4,10,2017,2,26.821428571428573
5,10,2017,2,24.6
6,10,2017,2,28.333333333333332
7,10,2017,2,30.14814814814815
8,10,2017,2,36.733333333333334
9,10,2017,2,27.066666666666666
10,10,2017,2,27.444444444444443
11,10,2017,2,25.966666666666665
12,10,2017,2,21.043478260869566
1,17,2017,2,
2,17,2017,2,
3,17,2017,2,
4,17,2017,2,
5,17,2017,2,1.871
6,17,2017,2,1.739
7,17,2017,2,
8,17,2017,2,
9,17,2017,2,
10,17,2017,2,
11,17,2017,2,
12,17,2017,2,
1,19,2017,2,
2,19,2017,2,
3,19,2017,2,
4,19,2017,2,
5,19,2017,2,0.0043
6,19,2017,2,0.0037
7,19,2017,2,
8,19,2017,2,
9,19,2017,2,
10,19,2017,2,
11,19,2017,2,
12,19,2017,2,
1,27,2017,2,
2,27,2017,2,
3,27,2017,2,
4,27,2017,2,
5,27,2017,2,0.004
6,27,2017,2,0.005
7,27,2017,2,
8,27,2017,2,0.005
9,27,2017,2,0.005666666666666667
10,27,2017,2,0.02275
11,27,2017,2,0.22799999999999998
12,27,2017,2,0.133
1,28,2017,2,
2,28,2017,2,
3,28,2017,2,
4,28,2017,2,
5,28,2017,2,0.347
6,28,2017,2,0.347
7,28,2017,2,
8,28,2017,2,
9,28,2017,2,
10,28,2017,2,
11,28,2017,2,
12,28,2017,2,
1,62,2017,2,
2,62,2017,2,
3,62,2017,2,
4,62,2017,2,
5,62,2017,2,1.505
6,62,2017,2,1.323
7,62,2017,2,
8,62,2017,2,
9,62,2017,2,
10,62,2017,2,
11,62,2017,2,
12,62,2017,2,
1,9,2018,2,10.144827586206898
2,9,2018,2,8.964
3,9,2018,2,6.005000000000001
4,9,2018,2,9.367857142857144
5,9,2018,2,8.813333333333334
6,9,2018,2,9.26
7,9,2018,2,11.55483870967742
8,9,2018,2,12.13076923076923
9,9,2018,2,11.59259259259259
10,9,2018,2,9.223076923076924
11,9,2018,2,8.979999999999999
12,9,2018,2,16.8
1,10,2018,2,18.24137931034483
2,10,2018,2,18.354545454545455
3,10,2018,2,16.363636363636363
4,10,2018,2,20.525000000000002
5,10,2018,2,21.533333333333335
