MES,MAGNITUD,ANNO,PROVINCIA,MEDIA_VAL,CERO,B,C,ECO,Sin_distintivo,Se_desconoce,VEHICULO
6.0,10.0,2018.0,1.0,14.564532019704432,0.0,0.0,53.0,0.0,0.0,1.0,2.0
6.0,17.0,2018.0,1.0,0.3747479607777777,5.0,20.0,700.0,52.0,6.0,72.0,1.0
6.0,17.0,2018.0,1.0,0.3747479607777777,0.0,0.0,53.0,0.0,0.0,1.0,2.0
6.0,19.0,2018.0,1.0,0.0170119082962963,5.0,20.0,700.0,52.0,6.0,72.0,1.0
6.0,19.0,2018.0,1.0,0.0170119082962963,0.0,0.0,53.0,0.0,0.0,1.0,2.0
6.0,27.0,2018.0,1.0,0.05,5.0,20.0,700.0,52.0,6.0,72.0,1.0
6.0,27.0,2018.0,1.0,0.05,0.0,0.0,53.0,0.0,0.0,1.0,2.0
6.0,28.0,2018.0,1.0,0.20000000000000004,5.0,20.0,700.0,52.0,6.0,72.0,1.0
6.0,28.0,2018.0,1.0,0.20000000000000004,0.0,0.0,53.0,0.0,0.0,1.0,2.0
6.0,62.0,2018.0,1.0,2.570845835518518,5.0,20.0,700.0,52.0,6.0,72.0,1.0
6.0,62.0,2018.0,1.0,2.570845835518518,0.0,0.0,53.0,0.0,0.0,1.0,2.0
7.0,9.0,2018.0,1.0,10.146594982078852,5.0,19.0,654.0,49.0,6.0,67.0,1.0
7.0,9.0,2018.0,1.0,10.146594982078852,0.0,0.0,49.0,0.0,0.0,1.0,2.0
7.0,10.0,2018.0,1.0,17.176871504997994,5.0,19.0,654.0,49.0,6.0,67.0,1.0
7.0,10.0,2018.0,1.0,17.176871504997994,0.0,0.0,49.0,0.0,0.0,1.0,2.0
7.0,17.0,2018.0,1.0,0.3625953934000001,5.0,19.0,654.0,49.0,6.0,67.0,1.0
7.0,17.0,2018.0,1.0,0.3625953934000001,0.0,0.0,49.0,0.0,0.0,1.0,2.0
7.0,19.0,2018.0,1.0,0.013836361,5.0,19.0,654.0,49.0,6.0,67.0,1.0
7.0,19.0,2018.0,1.0,0.013836361,0.0,0.0,49.0,0.0,0.0,1.0,2.0
7.0,27.0,2018.0,1.0,0.05,5.0,19.0,654.0,49.0,6.0,67.0,1.0
7.0,27.0,2018.0,1.0,0.05,0.0,0.0,49.0,0.0,0.0,1.0,2.0
7.0,28.0,2018.0,1.0,0.19999999999999998,5.0,19.0,654.0,49.0,6.0,67.0,1.0
7.0,28.0,2018.0,1.0,0.19999999999999998,0.0,0.0,49.0,0.0,0.0,1.0,2.0
7.0,62.0,2018.0,1.0,2.0,5.0,19.0,654.0,49.0,6.0,67.0,1.0
7.0,62.0,2018.0,1.0,2.0,0.0,0.0,49.0,0.0,0.0,1.0,2.0
