ANNO,MES,PROVINCIAS,CERO,ECO,B,C
2019,1,Vizcaya,18,162,46,1720
2017,10,Vizcaya,11,82,80,1504
2018,10,Vizcaya,11,104,65,1582
2019,10,Vizcaya,19,173,49,1841
2017,11,Vizcaya,11,88,85,1611
2018,11,Vizcaya,11,102,64,1550
2019,11,Vizcaya,18,165,47,1749
2017,12,Vizcaya,11,82,80,1508
2018,12,Vizcaya,12,106,67,1615
2019,12,Vizcaya,19,173,49,1841
2017,2,Vizcaya,10,77,75,1416
2018,2,Vizcaya,12,116,72,1756
2019,2,Vizcaya,18,169,48,1797
2017,3,Vizcaya,13,100,98,1843
2018,3,Vizcaya,14,133,83,2018
2019,3,Vizcaya,23,207,59,2192
2017,4,Vizcaya,11,82,80,1512
2018,4,Vizcaya,13,125,78,1899
2019,4,Vizcaya,23,202,58,2147
2017,5,Vizcaya,13,103,100,1887
2018,5,Vizcaya,15,144,90,2193
2019,5,Vizcaya,24,216,62,2291
2017,6,Vizcaya,14,107,104,1962
2018,6,Vizcaya,16,150,94,2276
2019,6,Vizcaya,24,220,63,2335
2017,7,Vizcaya,12,92,90,1697
2018,7,Vizcaya,15,140,88,2127
2019,7,Vizcaya,23,206,59,2184
2017,8,Vizcaya,8,63,62,1160
2018,8,Vizcaya,12,114,71,1726
2019,8,Vizcaya,15,135,39,1435
2017,9,Vizcaya,9,73,71,1334
2018,9,Vizcaya,9,84,53,1279
2019,9,Vizcaya,16,147,42,1559
2017,1,Burgos,2,41,15,433
2018,1,Burgos,3,66,19,559
2019,1,Burgos,6,90,17,501
2017,10,Burgos,3,50,18,518
2018,10,Burgos,3,63,18,534
2019,10,Burgos,6,96,18,537
2017,11,Burgos,3,53,19,555
2018,11,Burgos,3,62,18,522
2019,11,Burgos,6,91,17,510
2017,12,Burgos,3,50,18,520
2018,12,Burgos,3,64,19,545
2019,12,Burgos,6,96,18,537
2017,2,Burgos,3,47,17,488
2018,2,Burgos,3,70,20,593
2019,2,Burgos,6,94,18,524
2017,3,Burgos,4,61,22,635
2018,3,Burgos,3,80,24,681
2019,3,Burgos,7,115,22,638
2017,4,Burgos,3,50,18,521
2018,4,Burgos,3,76,22,640
2019,4,Burgos,7,112,21,625
2017,5,Burgos,4,62,23,650
2018,5,Burgos,5,87,26,739
2019,5,Burgos,7,120,23,668
2017,6,Burgos,4,65,23,676
2018,6,Burgos,5,91,27,767
2019,6,Burgos,8,122,23,680
2017,7,Burgos,3,56,20,585
2018,7,Burgos,3,85,25,717
2019,7,Burgos,7,114,21,636
2017,8,Burgos,2,38,14,400
2018,8,Burgos,3,69,20,582
2019,8,Burgos,3,75,14,418
2017,9,Burgos,3,44,16,460
2018,9,Burgos,2,51,15,431
2019,9,Burgos,4,82,15,454
2017,1,Cantabria,2,34,29,699
2018,1,Cantabria,6,64,32,1055
2019,1,Cantabria,8,94,34,1132
2017,10,Cantabria,3,41,35,836
2018,10,Cantabria,6,61,31,1007
2019,10,Cantabria,8,100,36,1211
2017,11,Cantabria,3,44,38,895
2018,11,Cantabria,6,60,30,987
2019,11,Cantabria,8,95,34,1150
2017,12,Cantabria,3,41,35,838
2018,12,Cantabria,6,62,32,1028
2019,12,Cantabria,8,100,36,1211
2017,2,Cantabria,3,39,33,787
2018,2,Cantabria,6,68,34,1118
2019,2,Cantabria,8,98,35,1181
2017,3,Cantabria,3,50,43,1024
2018,3,Cantabria,7,78,39,1285
2019,3,Cantabria,9,119,43,1441
2017,4,Cantabria,3,41,35,840
2018,4,Cantabria,7,73,37,1209
2019,4,Cantabria,9,117,42,1411
2017,5,Cantabria,3,52,44,1049
2018,5,Cantabria,8,85,43,1396
2019,5,Cantabria,9,125,45,1507
2017,6,Cantabria,4,54,46,1090
2018,6,Cantabria,8,88,44,1450
2019,6,Cantabria,10,127,46,1535
2017,7,Cantabria,3,46,40,943
2018,7,Cantabria,8,82,41,1354
2019,7,Cantabria,9,119,43,1436
2017,8,Cantabria,2,32,27,645
2018,8,Cantabria,6,67,34,1098
2019,8,Cantabria,7,78,28,943
2017,9,Cantabria,2,36,31,741
2018,9,Cantabria,5,49,25,815
2019,9,Cantabria,7,85,31,1025
2017,1,Castelló,1,38,33,870
2018,1,Castelló,2,58,39,1187
2019,1,Castelló,3,68,32,1251
2017,10,Castelló,2,45,40,1040
2018,10,Castelló,1,55,37,1135
2019,10,Castelló,3,73,35,1340
2017,11,Castelló,2,48,42,1114
2018,11,Castelló,1,54,37,1111
2019,11,Castelló,3,69,33,1273
2017,12,Castelló,2,45,40,1043
2018,12,Castelló,1,56,38,1158
2019,12,Castelló,3,73,35,1340
2017,2,Castelló,2,43,37,980
2018,2,Castelló,2,61,42,1258
2019,2,Castelló,3,71,34,1308
2017,3,Castelló,2,55,48,1274
2018,3,Castelló,2,70,49,1446
2019,3,Castelló,4,87,41,1595
2017,4,Castelló,2,45,40,1045
2018,4,Castelló,2,66,46,1361
2019,4,Castelló,4,85,40,1561
2017,5,Castelló,2,57,50,1305
2018,5,Castelló,2,77,53,1572
2019,5,Castelló,4,91,43,1666
2017,6,Castelló,2,59,52,1357
2018,6,Castelló,2,79,55,1632
2019,6,Castelló,6,92,44,1697
2017,7,Castelló,2,51,45,1173
2018,7,Castelló,2,74,51,1524
2019,7,Castelló,4,86,41,1589
2017,8,Castelló,1,35,30,803
2018,8,Castelló,2,60,41,1237
2019,8,Castelló,2,57,27,1044
2017,9,Castelló,1,40,35,923
2018,9,Castelló,1,45,30,917
2019,9,Castelló,3,62,29,1134
2017,1,Ceuta,0,4,9,67
2018,1,Ceuta,0,4,12,140
2019,1,Ceuta,1,6,11,201
2017,10,Ceuta,0,5,11,80
2018,10,Ceuta,0,4,11,133
2019,10,Ceuta,1,7,12,215
2017,11,Ceuta,0,6,12,86
2018,11,Ceuta,0,4,11,130
2019,11,Ceuta,1,6,11,204
2017,12,Ceuta,0,5,11,80
2018,12,Ceuta,0,4,11,135
2019,12,Ceuta,1,7,12,215
2017,2,Ceuta,0,5,10,76
2018,2,Ceuta,0,5,12,147
2019,2,Ceuta,1,6,11,209
2017,3,Ceuta,0,7,13,98
2018,3,Ceuta,0,5,14,170
2019,3,Ceuta,1,8,14,255
2017,4,Ceuta,0,5,11,81
2018,4,Ceuta,0,5,13,160
2019,4,Ceuta,1,8,14,250
2017,5,Ceuta,0,7,14,101
2018,5,Ceuta,1,6,15,184
2019,5,Ceuta,1,8,15,268
2017,6,Ceuta,0,7,14,105
2018,6,Ceuta,1,6,16,191
2019,6,Ceuta,1,8,15,272
2017,7,Ceuta,0,6,12,91
2018,7,Ceuta,0,6,15,179
2019,7,Ceuta,1,8,14,254
2017,8,Ceuta,0,4,8,62
2018,8,Ceuta,0,5,12,145
2019,8,Ceuta,0,5,9,166
2017,9,Ceuta,0,5,10,71
2018,9,Ceuta,0,3,9,108
2019,9,Ceuta,1,6,10,183
2017,1,Ciudad Real,1,13,9,408
2018,1,Ciudad Real,2,24,13,518
2019,1,Ciudad Real,1,32,9,497
2017,10,Ciudad Real,1,16,11,488
2018,10,Ciudad Real,2,23,13,495
2019,10,Ciudad Real,2,34,10,533
2017,11,Ciudad Real,1,17,11,523
2018,11,Ciudad Real,2,22,12,485
2019,11,Ciudad Real,1,32,9,506
2017,12,Ciudad Real,1,16,11,490
2018,12,Ciudad Real,2,23,13,505
2019,12,Ciudad Real,2,34,10,533
2017,2,Ciudad Real,1,15,10,460
2018,2,Ciudad Real,2,25,14,549
2019,2,Ciudad Real,1,33,10,520
2017,3,Ciudad Real,1,19,13,598
2018,3,Ciudad Real,2,29,17,631
2019,3,Ciudad Real,2,41,12,635
2017,4,Ciudad Real,1,16,11,491
2018,4,Ciudad Real,2,28,16,594
2019,4,Ciudad Real,2,40,12,621
2017,5,Ciudad Real,2,19,13,613
2018,5,Ciudad Real,2,32,19,686
2019,5,Ciudad Real,2,42,12,663
2017,6,Ciudad Real,2,20,14,637
2018,6,Ciudad Real,2,33,19,712
2019,6,Ciudad Real,2,43,13,675
2017,7,Ciudad Real,1,18,12,551
2018,7,Ciudad Real,2,31,18,666
2019,7,Ciudad Real,2,40,12,632
2017,8,Ciudad Real,1,12,8,377
2018,8,Ciudad Real,2,25,14,539
2019,8,Ciudad Real,1,27,8,415
2017,9,Ciudad Real,1,14,9,433
2018,9,Ciudad Real,1,19,10,400
2019,9,Ciudad Real,1,29,8,452
2018,1,A Coruña,9,180,122,1542
2019,1,A Coruña,9,202,78,1420
2018,10,A Coruña,9,172,117,1474
2019,10,A Coruña,10,216,84,1519
2018,11,A Coruña,8,168,114,1443
2019,11,A Coruña,9,205,79,1443
2018,12,A Coruña,9,175,119,1504
2019,12,A Coruña,10,216,84,1519
2018,2,A Coruña,9,191,129,1634
2019,2,A Coruña,10,211,82,1482
2018,3,A Coruña,11,219,148,1879
2019,3,A Coruña,12,257,99,1810
2018,4,A Coruña,10,206,140,1768
2019,4,A Coruña,12,252,97,1772
2018,5,A Coruña,12,238,161,2043
2019,5,A Coruña,12,269,104,1891
2018,6,A Coruña,12,247,167,2119
2019,6,A Coruña,13,274,106,1925
2018,7,A Coruña,11,231,156,1980
2019,7,A Coruña,12,256,99,1802
2018,8,A Coruña,9,187,127,1607
2019,8,A Coruña,8,168,65,1183
2018,9,A Coruña,7,139,94,1191
2019,9,A Coruña,8,183,71,1288
2018,1,Cuenca,0,3,7,103
2019,1,Cuenca,0,6,6,103
2018,10,Cuenca,0,3,7,99
2019,10,Cuenca,0,6,6,111
2018,11,Cuenca,0,3,6,97
2019,11,Cuenca,0,6,6,106
2018,12,Cuenca,0,3,7,101
2019,12,Cuenca,0,6,6,111
2018,2,Cuenca,0,4,7,110
2019,2,Cuenca,0,6,6,109
2018,3,Cuenca,0,4,8,126
2019,3,Cuenca,0,7,7,132
2018,4,Cuenca,0,4,8,119
2019,4,Cuenca,0,7,7,130
2018,5,Cuenca,0,4,9,137
2019,5,Cuenca,0,8,7,139
2018,6,Cuenca,0,5,9,142
2019,6,Cuenca,0,8,7,141
2018,7,Cuenca,0,4,9,133
2019,7,Cuenca,0,7,7,132
