PUNTO_MUESTREO,MES,MAGNITUD,ANO,PROVINCIA,MEDIA_MAGS,LONGITUD,LATITUD
28079008,09,43,2019,28,1.4567741935483867,-3.6823158,40.4215533
28079008,10,43,2019,28,1.5777419354838709,-3.6823158,40.4215533
28079008,11,43,2019,28,1.516451612903226,-3.6823158,40.4215533
28079008,12,43,2019,28,1.6070967741935485,-3.6823158,40.4215533
28079008,01,44,2019,28,0.13709677419354838,-3.6823158,40.4215533
28079008,02,44,2019,28,0.10161290322580645,-3.6823158,40.4215533
28079008,03,44,2019,28,0.0732258064516129,-3.6823158,40.4215533
28079008,04,44,2019,28,0.05612903225806453,-3.6823158,40.4215533
28079008,05,44,2019,28,0.06548387096774194,-3.6823158,40.4215533
28079008,06,44,2019,28,0.08322580645161287,-3.6823158,40.4215533
28079008,07,44,2019,28,0.06806451612903225,-3.6823158,40.4215533
28079008,08,44,2019,28,0.17612903225806453,-3.6823158,40.4215533
28079008,09,44,2019,28,0.18548387096774194,-3.6823158,40.4215533
28079008,10,44,2019,28,0.17548387096774193,-3.6823158,40.4215533
28079008,11,44,2019,28,0.08451612903225805,-3.6823158,40.4215533
28079008,12,44,2019,28,0.09580645161290324,-3.6823158,40.4215533
28079008,01,6,2019,28,0.3580645161290322,-3.6823158,40.4215533
28079008,02,6,2019,28,0.23548387096774193,-3.6823158,40.4215533
28079008,03,6,2019,28,0.15483870967741933,-3.6823158,40.4215533
28079008,04,6,2019,28,0.12258064516129034,-3.6823158,40.4215533
28079008,05,6,2019,28,0.13225806451612904,-3.6823158,40.4215533
28079008,06,6,2019,28,0.1838709677419355,-3.6823158,40.4215533
28079008,07,6,2019,28,0.15483870967741936,-3.6823158,40.4215533
28079008,08,6,2019,28,0.1774193548387097,-3.6823158,40.4215533
28079008,09,6,2019,28,0.3419354838709678,-3.6823158,40.4215533
28079008,10,6,2019,28,0.4193548387096774,-3.6823158,40.4215533
28079008,11,6,2019,28,0.36129032258064525,-3.6823158,40.4215533
28079008,12,6,2019,28,0.4516129032258064,-3.6823158,40.4215533
28079008,01,7,2019,28,59.41935483870968,-3.6823158,40.4215533
28079008,02,7,2019,28,38.67741935483871,-3.6823158,40.4215533
28079008,03,7,2019,28,18.35483870967742,-3.6823158,40.4215533
28079008,04,7,2019,28,12.064516129032258,-3.6823158,40.4215533
28079008,05,7,2019,28,8.64516129032258,-3.6823158,40.4215533
28079008,06,7,2019,28,7.967741935483871,-3.6823158,40.4215533
28079008,07,7,2019,28,6.032258064516129,-3.6823158,40.4215533
28079008,08,7,2019,28,4.612903225806452,-3.6823158,40.4215533
28079008,09,7,2019,28,12.548387096774194,-3.6823158,40.4215533
28079008,10,7,2019,28,27.29032258064516,-3.6823158,40.4215533
28079008,11,7,2019,28,19.451612903225808,-3.6823158,40.4215533
28079008,12,7,2019,28,33.0,-3.6823158,40.4215533
28079008,01,8,2019,28,74.51612903225806,-3.6823158,40.4215533
28079008,02,8,2019,28,69.61290322580645,-3.6823158,40.4215533
28079008,03,8,2019,28,57.064516129032256,-3.6823158,40.4215533
28079008,04,8,2019,28,46.903225806451616,-3.6823158,40.4215533
